"D_ab","x_a_init","x_a_non","e_hat_a","x_b_init","x_b_non","e_hat_b","NPV_a_hat","NPV_b_hat","x_a_so","e_star_a","x_b_so","e_star_b","NPV_a_star","NPV_b_star","x_a_soa","e_a_star","x_b_soa","NPV_ea_star","NPV_eb_star","WTP_A","WTA_B","accept","reserve_npv_coop","reserve_npv_non","coop_npv_non","reserve_vs_non_x","reserve_vs_coop_x"
0,0.1,0,0,0.1,0,0,1,1,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,2475.01712747128,267.08920934029,0.230430575860894,0.1,0.117622643965223,24.3198435036183,23.1321441175712,23.3198435036183,1,22.3198435036183,-2717.78649330795,22.3198435036183,2740.10633681157,0.348053219826117,144.812557710065
0,0.1,0,0,11.2,0,0,1,112,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,3864.04334022139,416.487687838966,0.230430575860894,0.1,0.117622643965223,209.168892047265,180.344406253483,208.168892047265,112,96.1688920472647,-4071.36213601309,96.1688920472647,4167.53102806035,0.348053219826117,144.812557710065
0,0.1,0,0,22.3,0,0,1,223,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4163.36270825268,451.737409864043,0.230430575860894,0.1,0.117622643965223,376.565836334892,333.19364232539,375.565836334892,223,152.565836334892,-4238.53428178183,152.565836334892,4391.10011811672,0.348053219826117,144.812557710065
0,0.1,0,0,33.4,0,0,1,334,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4357.94610259921,463.61999686967,0.230430575860894,0.1,0.117622643965224,526.895306186608,481.776009788319,525.895306186608,334,191.895306186608,-4294.67079328227,191.895306186608,4486.56609946888,0.348053219826117,144.812557710065
0,0.1,0,0,44.5,0,0,1,445,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4495.56178408596,474.736525441559,0.230430575860894,0.1,0.117622643965223,660.501498857106,626.177557955944,659.501498857106,445,214.501498857106,-4309.79681067041,214.501498857106,4524.29830952752,0.348053219826117,144.812557710065
0,0.1,0,0,55.6,0,0,1,556,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4507.52774863461,575.016446308175,0.230430575860894,0.1,0.117622643965223,777.689426807024,766.474539943423,776.689426807024,556,220.689426807024,-4304.85476813576,220.689426807024,4525.54419494279,0.348053219826117,144.812557710065
0,0.1,0,0,66.7,0,0,1,667,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4507.52774863461,686.016446308175,0.230430575860894,0.1,0.117622643965223,878.725978238943,902.733677801403,877.725978238943,667,210.725978238943,-4314.81821670385,210.725978238943,4525.54419494279,0.348053219826117,144.812557710065
0,0.1,0,0,77.8,0,0,1,778,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4507.52774863461,797.016446308175,0.230430575860894,0.1,0.117622643965223,963.840809743878,1035.01238567764,962.840809743878,778,184.840809743878,-4340.70338519891,184.840809743878,4525.54419494279,0.348053219826117,144.812557710065
0,0.1,0,0,88.9,0,0,1,889,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4507.52774863461,908.016446308175,0.230430575860894,0.1,0.117622643965223,1033.2270876901,1163.35895516419,1032.2270876901,889,143.227087690103,-4382.31710725269,143.227087690103,4525.54419494279,0.348053219826117,144.812557710065
0,0.1,0,0,100,0,0,1,1000,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4507.52774863461,1019.01644630817,0.230430575860894,0.1,0.117622643965223,1087.0420924568,1287.81270635587,1086.0420924568,1000,86.0420924568043,-4439.50210248599,86.0420924568043,4525.54419494279,0.348053219826117,144.812557710065
0,11.2,0,0,0.1,0,0,112,1,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,3867.66217763484,417.800798378218,23.9015766954077,11.2,12.8835541738519,2193.40809943261,2382.40693586702,2081.40809943261,1,2080.40809943261,-2092.05487658045,2080.40809943261,4172.46297601306,36.7851308692596,144.812557710065
0,11.2,0,0,11.2,0,0,112,112,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4198.52758477042,453.607649794399,23.9015766954077,11.2,12.8835541738519,2372.57017136127,2538.19745384918,2260.57017136127,112,2148.57017136127,-2279.56506320355,2148.57017136127,4428.13523456482,36.7851308692596,144.812557710065
0,11.2,0,0,22.3,0,0,112,223,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4404.22200842861,472.074461882497,23.9015766954077,11.2,12.8835541738519,2534.84436288205,2689.76600172938,2422.84436288205,223,2199.84436288205,-2341.45210742906,2199.84436288205,4541.29647031111,36.7851308692596,144.812557710065
0,11.2,0,0,33.4,0,0,112,334,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4537.36221755809,500.172006498159,23.9015766954077,11.2,12.8835541738519,2680.59528890076,2837.20373323405,2568.59528890076,334,2234.59528890076,-2356.93893515549,2234.59528890076,4591.53422405625,36.7851308692596,144.812557710065
0,11.2,0,0,44.5,0,0,112,445,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4662.82512773947,501.472210634423,23.9015766954077,11.2,12.8835541738519,2810.14951445099,2980.59228962161,2698.14951445099,445,2253.14951445099,-2354.1478239229,2253.14951445099,4607.29733837389,36.7851308692596,144.812557710065
0,11.2,0,0,55.6,0,0,112,556,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4674.56740780423,601.450636384496,23.9015766954077,11.2,12.8835541738519,2923.79665005522,3120.00407352267,2811.79665005522,556,2255.79665005522,-2352.22139413351,2255.79665005522,4608.01804418873,36.7851308692596,144.812557710065
0,11.2,0,0,66.7,0,0,112,667,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4674.56740780423,712.450636384496,23.9015766954077,11.2,12.8835541738519,3021.7902809949,3255.50248125759,2909.7902809949,667,2242.7902809949,-2365.22776319382,2242.7902809949,4608.01804418873,36.7851308692596,144.812557710065
