"M_ab","x_a_init","x_a_non","e_hat_a","x_b_init","x_b_non","e_hat_b","NPV_a_hat","NPV_b_hat","x_a_so","e_star_a","x_b_so","e_star_b","NPV_a_star","NPV_b_star","x_a_soa","e_a_star","x_b_soa","NPV_ea_star","NPV_eb_star","WTP_A","WTA_B","accept","reserve_npv_coop","reserve_npv_non","reserve_vs_non_x","reserve_vs_coop_x"
0.1,0.1,48.3832525392429,34.1008771929825,0.1,33.7300178901201,23.6842105263158,1409.50095809556,991.353191123011,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,1824.03810165879,918.709333826713,14.5833333327834,0,58.3333333311337,824.489061040697,3294.95624416279,-585.011897054864,991.353191123011,-1576.36508817788,-1918.2583744448,-1576.36508817788,-9.19660376544583,48.0067665050784
0.1,0.1,48.3832525392429,34.1008771929825,11.2,33.7300178901201,23.6842105263158,2151.86721863395,1589.65079921046,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,2819.63949189409,1466.13223500078,14.7353941182376,0.1,58.4117564729505,2145.61408047249,8669.94424251065,-6.25313816146127,1589.65079921046,-1595.90393737192,-2140.15764642238,-1595.90393737192,-8.96611983817483,48.0067665050784
0.1,0.1,48.3832525392429,34.1008771929825,22.3,33.7300178901201,23.6842105263158,2252.69828939232,1750.10101755606,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3007.66054252628,1606.48084982925,14.7353941182381,0.1,58.4117564729525,2412.87015051127,9849.96852266576,160.17186111895,1750.10101755606,-1589.92915643711,-2201.27124184427,-1589.92915643711,-8.96611983817225,48.0067665050784
0.1,0.1,48.3832525392429,34.1008771929825,33.4,33.7300178901201,23.6842105263158,2258.04204196474,1863.34544527338,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3106.27913163436,1708.54625039773,14.7353941182383,0.1,58.4117564729531,2567.76069732866,10580.5307099353,309.718655363917,1863.34544527338,-1553.62678990947,-2247.06468470343,-1553.62678990947,-8.96611983817156,48.0067665050784
0.1,0.1,48.3832525392429,34.1008771929825,44.5,33.7300178901201,23.6842105263158,2258.04204196474,1974.34544527338,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3156.15051272741,1803.11969053681,14.7353941182383,0.1,58.4117564729533,2672.32225717197,11109.7769493086,414.28021520723,1974.34544527338,-1560.06523006615,-2286.94794609225,-1560.06523006615,-8.96611983817128,48.0067665050784
0.1,0.1,48.3832525392429,34.1008771929825,55.6,33.7300178901201,23.6842105263158,2258.04204196474,2085.34544527338,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3158.98905322596,1912.74487235741,14.7353941182384,0.1,58.4117564729534,2747.65362842997,11522.1024343405,489.611586465229,2085.34544527338,-1595.73385880815,-2324.0802971534,-1595.73385880815,-8.96611983817112,48.0067665050784
0.1,0.1,48.3832525392429,34.1008771929825,66.7,33.7300178901201,23.6842105263158,2258.04204196474,2196.34544527338,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3158.98905322596,2023.74487235741,14.7353941182384,0.1,58.4117564729535,2803.60669681876,11856.9147078957,545.564654854022,2196.34544527338,-1650.78079041936,-2379.1272287646,-1650.78079041936,-8.96611983817104,48.0067665050784
0.1,0.1,48.3832525392429,34.1008771929825,77.8,33.7300178901201,23.6842105263158,2258.04204196474,2307.34544527338,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3158.98905322596,2134.74487235741,14.7353941182384,0.1,58.4117564729535,2845.58683462749,12135.8352591307,587.544792662755,2307.34544527338,-1719.80065261063,-2448.14709095587,-1719.80065261063,-8.96611983817098,48.0067665050784
0.1,0.1,48.3832525392429,34.1008771929825,88.9,33.7300178901201,23.6842105263158,2258.04204196474,2418.34544527338,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3158.98905322596,2245.74487235741,14.7353941182384,0.1,58.4117564729535,2876.85479382336,12371.9070959141,618.812751858622,2418.34544527338,-1799.53269341476,-2527.87913176,-1799.53269341476,-8.96611983817097,48.0067665050784
0.1,0.1,48.3832525392429,34.1008771929825,100,33.7300178901201,23.6842105263158,2258.04204196474,2529.34544527338,65.0600184672207,45.6140350877193,55.9372114496768,45.6140350877193,3158.98905322596,2356.74487235741,14.7353941182384,0.1,58.4117564729536,2899.48669697101,12573.4347085047,641.444655006273,2529.34544527338,-1887.90079026711,-2616.24722861235,-1887.90079026711,-8.96611983817094,48.0067665050784
